"filename", "language", "Python", "Markdown", "comment", "blank", "total"
"c:\Users\benrc\Desktop\Executor\DAG\WukongDynamic\README.md", "Markdown", 0, 41, 0, 14, 55
"c:\Users\benrc\Desktop\Executor\DAG\WukongDynamic\fibonnaci_program.py", "Python", 425, 0, -485, 60, 0
"c:\Users\benrc\Desktop\Executor\DAG\WukongDynamic\handler.py", "Python", -1, 0, 0, 0, -1
"c:\Users\benrc\Desktop\Executor\DAG\WukongDynamic\handlerDAG.py", "Python", 66, 0, 18, 15, 99
"c:\Users\benrc\Desktop\Executor\DAG\WukongDynamic\handlerNew.py", "Python", -1, 0, 0, 0, -1
"c:\Users\benrc\Desktop\Executor\DAG\WukongDynamic\mergesort_driver.py", "Python", 18, 0, -23, 5, 0
"c:\Users\benrc\Desktop\Executor\DAG\WukongDynamic\mergesort_program.py", "Python", 88, 0, -97, 9, 0
"c:\Users\benrc\Desktop\Executor\DAG\WukongDynamic\treereduction_program.py", "Python", 81, 0, -89, 8, 0
"c:\Users\benrc\Desktop\Executor\DAG\WukongDynamic\wukongdnc\constants.py", "Python", 1, 0, 0, 0, 1
"c:\Users\benrc\Desktop\Executor\DAG\WukongDynamic\wukongdnc\dag\BFS.py", "Python", 1738, 0, 720, 277, 2735
"c:\Users\benrc\Desktop\Executor\DAG\WukongDynamic\wukongdnc\dag\BFS_Custom_Dask_DAG.py", "Python", 98, 0, -86, 1, 13
"c:\Users\benrc\Desktop\Executor\DAG\WukongDynamic\wukongdnc\dag\BFS_DAG_Generator_Multithreaded.py", "Python", 140, 0, 79, 25, 244
"c:\Users\benrc\Desktop\Executor\DAG\WukongDynamic\wukongdnc\dag\BFS_Node.py", "Python", 7, 0, -8, 1, 0
"c:\Users\benrc\Desktop\Executor\DAG\WukongDynamic\wukongdnc\dag\BFS_Partition_Node.py", "Python", 36, 0, -31, -7, -2
"c:\Users\benrc\Desktop\Executor\DAG\WukongDynamic\wukongdnc\dag\BFS_Shared.py", "Python", 296, 0, -460, 25, -139
"c:\Users\benrc\Desktop\Executor\DAG\WukongDynamic\wukongdnc\dag\BFS_dfs_parent_pre_post.py", "Python", 264, 0, -311, 48, 1
"c:\Users\benrc\Desktop\Executor\DAG\WukongDynamic\wukongdnc\dag\BFS_generate_DAG_info.py", "Python", 726, 0, -174, 98, 650
"c:\Users\benrc\Desktop\Executor\DAG\WukongDynamic\wukongdnc\dag\BFS_generate_DAG_info_incremental_groups.py", "Python", 442, 0, 240, 56, 738
"c:\Users\benrc\Desktop\Executor\DAG\WukongDynamic\wukongdnc\dag\BFS_generate_DAG_info_incremental_partitions.py", "Python", 523, 0, 486, 145, 1154
"c:\Users\benrc\Desktop\Executor\DAG\WukongDynamic\wukongdnc\dag\BFS_generate_shared_partitions_groups.py", "Python", 43, 0, -30, 2, 15
"c:\Users\benrc\Desktop\Executor\DAG\WukongDynamic\wukongdnc\dag\BFS_pagerank.py", "Python", 443, 0, -167, 52, 328
"c:\Users\benrc\Desktop\Executor\DAG\WukongDynamic\wukongdnc\dag\BFS_scc.py", "Python", 46, 0, -45, 0, 1
"c:\Users\benrc\Desktop\Executor\DAG\WukongDynamic\wukongdnc\dag\BFS_stuff.py", "Python", 394, 0, -437, 43, 0
"c:\Users\benrc\Desktop\Executor\DAG\WukongDynamic\wukongdnc\dag\Ben_Wukong_Task_Code.py", "Python", 64, 0, -66, 4, 2
"c:\Users\benrc\Desktop\Executor\DAG\WukongDynamic\wukongdnc\dag\Client_for_DAG_infoBuffer_Monitor_for_Lambdas.py", "Python", 26, 0, 21, 4, 51
"c:\Users\benrc\Desktop\Executor\DAG\WukongDynamic\wukongdnc\dag\DAG_Executor_lambda_function_simulator.py", "Python", 330, 0, -362, 44, 12
"c:\Users\benrc\Desktop\Executor\DAG\WukongDynamic\wukongdnc\dag\DAG_boundedbuffer_work_queue.py", "Python", 1, 0, 2, 0, 3
"c:\Users\benrc\Desktop\Executor\DAG\WukongDynamic\wukongdnc\dag\DAG_data_dict_for_threads.py", "Python", 0, 0, 1, 0, 1
"c:\Users\benrc\Desktop\Executor\DAG\WukongDynamic\wukongdnc\dag\DAG_executor.py", "Python", 966, 0, 688, 122, 1776
"c:\Users\benrc\Desktop\Executor\DAG\WukongDynamic\wukongdnc\dag\DAG_executor_constants.py", "Python", 4191, 0, 894, 431, 5516
"c:\Users\benrc\Desktop\Executor\DAG\WukongDynamic\wukongdnc\dag\DAG_executor_counter.py", "Python", 3, 0, 1, 0, 4
"c:\Users\benrc\Desktop\Executor\DAG\WukongDynamic\wukongdnc\dag\DAG_executor_countermp.py", "Python", 3, 0, 0, 1, 4
"c:\Users\benrc\Desktop\Executor\DAG\WukongDynamic\wukongdnc\dag\DAG_executor_create_multithreaded_multiprocessing_processes.py", "Python", 17, 0, 9, 3, 29
"c:\Users\benrc\Desktop\Executor\DAG\WukongDynamic\wukongdnc\dag\DAG_executor_create_threads_for_multiT_multiP.py", "Python", 12, 0, 4, -1, 15
"c:\Users\benrc\Desktop\Executor\DAG\WukongDynamic\wukongdnc\dag\DAG_executor_driver.py", "Python", 1263, 0, -471, 190, 982
"c:\Users\benrc\Desktop\Executor\DAG\WukongDynamic\wukongdnc\dag\DAG_executor_output_checker.py", "Python", 15, 0, 6, 1, 22
"c:\Users\benrc\Desktop\Executor\DAG\WukongDynamic\wukongdnc\dag\DAG_executor_synchronizer.py", "Python", 50, 0, 7, 0, 57
"c:\Users\benrc\Desktop\Executor\DAG\WukongDynamic\wukongdnc\dag\DAG_executor_work_queue_for_threads.py", "Python", 0, 0, 1, 1, 2
"c:\Users\benrc\Desktop\Executor\DAG\WukongDynamic\wukongdnc\dag\DAG_info.py", "Python", 27, 0, 7, 2, 36
"c:\Users\benrc\Desktop\Executor\DAG\WukongDynamic\wukongdnc\dag\DAG_infoBuffer_Monitor_for_lambdas_for_threads.py", "Python", 12, 0, 13, 2, 27
"c:\Users\benrc\Desktop\Executor\DAG\WukongDynamic\wukongdnc\dag\DAG_infoBuffer_Monitor_for_threads.py", "Python", 6, 0, 11, 4, 21
"c:\Users\benrc\Desktop\Executor\DAG\WukongDynamic\wukongdnc\dag\DFS.py", "Python", 28, 0, -33, 5, 0
"c:\Users\benrc\Desktop\Executor\DAG\WukongDynamic\wukongdnc\dag\DFS_visit.py", "Python", 328, 0, -321, 69, 76
"c:\Users\benrc\Desktop\Executor\DAG\WukongDynamic\wukongdnc\dag\Hunar_Vectorize.py", "Python", 40, 0, 8, 11, 59
"c:\Users\benrc\Desktop\Executor\DAG\WukongDynamic\wukongdnc\dag\Local_Client_for_DAG_infoBuffer_Monitor.py", "Python", 9, 0, -7, 0, 2
"c:\Users\benrc\Desktop\Executor\DAG\WukongDynamic\wukongdnc\dag\Local_Client_for_DAG_infoBuffer_Monitor_for_Lambdas.py", "Python", 27, 0, 21, 4, 52
"c:\Users\benrc\Desktop\Executor\DAG\WukongDynamic\wukongdnc\dag\QueuevsBB.py", "Python", 17, 0, -18, 1, 0
"c:\Users\benrc\Desktop\Executor\DAG\WukongDynamic\wukongdnc\dag\Remote_Client_for_DAG_infoBuffer_Monitor.py", "Python", 9, 0, -7, 0, 2
"c:\Users\benrc\Desktop\Executor\DAG\WukongDynamic\wukongdnc\dag\Remote_Client_for_DAG_infoBuffer_Monitor_for_Lambdas.py", "Python", 37, 0, 15, 6, 58
"c:\Users\benrc\Desktop\Executor\DAG\WukongDynamic\wukongdnc\dag\SCC.py", "Python", 31, 0, -33, 2, 0
"c:\Users\benrc\Desktop\Executor\DAG\WukongDynamic\wukongdnc\dag\TestAll.py", "Python", 96, 0, 70, 24, 190
"c:\Users\benrc\Desktop\Executor\DAG\WukongDynamic\wukongdnc\dag\addLoggingLevel.py", "Python", 39, 0, 4, 10, 53
"c:\Users\benrc\Desktop\Executor\DAG\WukongDynamic\wukongdnc\dag\counter_mp.py", "Python", 1, 0, 1, -1, 1
"c:\Users\benrc\Desktop\Executor\DAG\WukongDynamic\wukongdnc\dag\dask_dag.py", "Python", 252, 0, -228, 33, 57
"c:\Users\benrc\Desktop\Executor\DAG\WukongDynamic\wukongdnc\dag\multiprocessing_logging.py", "Python", 26, 0, -24, 8, 10
"c:\Users\benrc\Desktop\Executor\DAG\WukongDynamic\wukongdnc\dag\pagerank.py", "Python", 16, 0, -16, 0, 0
"c:\Users\benrc\Desktop\Executor\DAG\WukongDynamic\wukongdnc\dag\pythonMultiP.py", "Python", 38, 0, -40, 14, 12
"c:\Users\benrc\Desktop\Executor\DAG\WukongDynamic\wukongdnc\dag\util.py", "Python", 17, 0, -19, 2, 0
"c:\Users\benrc\Desktop\Executor\DAG\WukongDynamic\wukongdnc\old_invoker.py", "Python", 9, 0, -11, 2, 0
"c:\Users\benrc\Desktop\Executor\DAG\WukongDynamic\wukongdnc\programs\DivideAndConquerTreeReduction.py", "Python", 110, 0, -129, 19, 0
"c:\Users\benrc\Desktop\Executor\DAG\WukongDynamic\wukongdnc\programs\DivideandConquerMergeSort.py", "Python", 110, 0, -129, 19, 0
"c:\Users\benrc\Desktop\Executor\DAG\WukongDynamic\wukongdnc\server\CountingSemaphore_Monitor.py", "Python", 2, 0, 0, -1, 1
"c:\Users\benrc\Desktop\Executor\DAG\WukongDynamic\wukongdnc\server\CountingSemaphore_MonitorOld.py", "Python", 2, 0, 0, 0, 2
"c:\Users\benrc\Desktop\Executor\DAG\WukongDynamic\wukongdnc\server\CountingSemaphore_Monitor_Select.py", "Python", 2, 0, 0, 0, 2
"c:\Users\benrc\Desktop\Executor\DAG\WukongDynamic\wukongdnc\server\DAG_executor_FanIn.py", "Python", 2, 0, 0, 0, 2
"c:\Users\benrc\Desktop\Executor\DAG\WukongDynamic\wukongdnc\server\DAG_executor_FanInNB.py", "Python", 51, 0, 70, 9, 130
"c:\Users\benrc\Desktop\Executor\DAG\WukongDynamic\wukongdnc\server\DAG_executor_FanInNB_select.py", "Python", 57, 0, 62, 3, 122
"c:\Users\benrc\Desktop\Executor\DAG\WukongDynamic\wukongdnc\server\DAG_executor_FanIn_select.py", "Python", -3, 0, 2, -3, -4
"c:\Users\benrc\Desktop\Executor\DAG\WukongDynamic\wukongdnc\server\DAG_infoBuffer_Monitor.py", "Python", 53, 0, 173, 6, 232
"c:\Users\benrc\Desktop\Executor\DAG\WukongDynamic\wukongdnc\server\DAG_infoBuffer_Monitor_for_Lambdas.py", "Python", 108, 0, 89, 7, 204
"c:\Users\benrc\Desktop\Executor\DAG\WukongDynamic\wukongdnc\server\api.py", "Python", 188, 0, -235, 47, 0
"c:\Users\benrc\Desktop\Executor\DAG\WukongDynamic\wukongdnc\server\barrier.py", "Python", 2, 0, 0, 0, 2
"c:\Users\benrc\Desktop\Executor\DAG\WukongDynamic\wukongdnc\server\barrierOld.py", "Python", 2, 0, 0, 0, 2
"c:\Users\benrc\Desktop\Executor\DAG\WukongDynamic\wukongdnc\server\bounded_buffer.py", "Python", 9, 0, 4, 3, 16
"c:\Users\benrc\Desktop\Executor\DAG\WukongDynamic\wukongdnc\server\bounded_bufferOld.py", "Python", 11, 0, -9, 0, 2
"c:\Users\benrc\Desktop\Executor\DAG\WukongDynamic\wukongdnc\server\bounded_buffer_select.py", "Python", 2, 0, 0, 0, 2
"c:\Users\benrc\Desktop\Executor\DAG\WukongDynamic\wukongdnc\server\counting_semaphore.py", "Python", 38, 0, -40, 4, 2
"c:\Users\benrc\Desktop\Executor\DAG\WukongDynamic\wukongdnc\server\fanin.py", "Python", 9, 0, 6, 2, 17
"c:\Users\benrc\Desktop\Executor\DAG\WukongDynamic\wukongdnc\server\faninOld.py", "Python", 9, 0, 6, 2, 17
"c:\Users\benrc\Desktop\Executor\DAG\WukongDynamic\wukongdnc\server\lambda_driver.py", "Python", 3, 0, -3, 0, 0
"c:\Users\benrc\Desktop\Executor\DAG\WukongDynamic\wukongdnc\server\lambda_function.py", "Python", 38, 0, -51, 13, 0
"c:\Users\benrc\Desktop\Executor\DAG\WukongDynamic\wukongdnc\server\local_driver.py", "Python", 31, 0, -44, 12, -1
"c:\Users\benrc\Desktop\Executor\DAG\WukongDynamic\wukongdnc\server\message_handler_lambda.py", "Python", 155, 0, -137, 16, 34
"c:\Users\benrc\Desktop\Executor\DAG\WukongDynamic\wukongdnc\server\monitor_su.py", "Python", 0, 0, -1, 0, -1
"c:\Users\benrc\Desktop\Executor\DAG\WukongDynamic\wukongdnc\server\result_buffer.py", "Python", 2, 0, 0, -2, 0
"c:\Users\benrc\Desktop\Executor\DAG\WukongDynamic\wukongdnc\server\selectableEntry.py", "Python", 2, 0, 0, -2, 0
"c:\Users\benrc\Desktop\Executor\DAG\WukongDynamic\wukongdnc\server\selectivewait.py", "Python", 2, 0, 0, -2, 0
"c:\Users\benrc\Desktop\Executor\DAG\WukongDynamic\wukongdnc\server\selector.py", "Python", 7, 0, 17, 0, 24
"c:\Users\benrc\Desktop\Executor\DAG\WukongDynamic\wukongdnc\server\selector_lambda.py", "Python", 22, 0, 11, -2, 31
"c:\Users\benrc\Desktop\Executor\DAG\WukongDynamic\wukongdnc\server\state.py", "Python", -1, 0, 1, 0, 0
"c:\Users\benrc\Desktop\Executor\DAG\WukongDynamic\wukongdnc\server\synchronizer.py", "Python", 178, 0, -161, 18, 35
"c:\Users\benrc\Desktop\Executor\DAG\WukongDynamic\wukongdnc\server\synchronizerThreadSelect.py", "Python", 5, 0, 3, -2, 6
"c:\Users\benrc\Desktop\Executor\DAG\WukongDynamic\wukongdnc\server\synchronizer_lambda.py", "Python", 65, 0, -24, -1, 40
"c:\Users\benrc\Desktop\Executor\DAG\WukongDynamic\wukongdnc\server\synchronizer_thread.py", "Python", 2, 0, 0, -2, 0
"c:\Users\benrc\Desktop\Executor\DAG\WukongDynamic\wukongdnc\server\tcp_server.py", "Python", 274, 0, -21, 37, 290
"c:\Users\benrc\Desktop\Executor\DAG\WukongDynamic\wukongdnc\server\tcp_server_lambda.py", "Python", 317, 0, -240, 42, 119
"c:\Users\benrc\Desktop\Executor\DAG\WukongDynamic\wukongdnc\server\tcp_server_old.py", "Python", 8, 0, 1, -1, 8
"c:\Users\benrc\Desktop\Executor\DAG\WukongDynamic\wukongdnc\server\util.py", "Python", 24, 0, -26, 1, -1
"c:\Users\benrc\Desktop\Executor\DAG\WukongDynamic\wukongdnc\wukong\channel.py", "Python", 44, 0, -50, 6, 0
"c:\Users\benrc\Desktop\Executor\DAG\WukongDynamic\wukongdnc\wukong\client_server.py", "Python", 3, 0, -3, 0, 0
"c:\Users\benrc\Desktop\Executor\DAG\WukongDynamic\wukongdnc\wukong\dc_executor.py", "Python", 6, 0, -6, 0, 0
"c:\Users\benrc\Desktop\Executor\DAG\WukongDynamic\wukongdnc\wukong\fanin_synchronizer.py", "Python", 5, 0, -7, 2, 0
"c:\Users\benrc\Desktop\Executor\DAG\WukongDynamic\wukongdnc\wukong\handlerDAG.py", "Python", 33, 0, 18, 10, 61
"c:\Users\benrc\Desktop\Executor\DAG\WukongDynamic\wukongdnc\wukong\invoker.py", "Python", 90, 0, 2, 20, 112
"c:\Users\benrc\Desktop\Executor\DAG\WukongDynamic\wukongdnc\wukong\memoization\memoization_controller.py", "Python", 61, 0, -72, 11, 0
"c:\Users\benrc\Desktop\Executor\DAG\WukongDynamic\wukongdnc\wukong\old_invoker.py", "Python", 19, 0, -23, 4, 0
"c:\Users\benrc\Desktop\Executor\DAG\WukongDynamic\wukongdnc\wukong\synchronization\counting_semaphore.py", "Python", 35, 0, -37, 2, 0
"c:\Users\benrc\Desktop\Executor\DAG\WukongDynamic\wukongdnc\wukong\wukong_problem.py", "Python", 52, 0, -65, 13, 0
"Total", "-", 16125, 41, -1820, 2185, 16531